time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-09-27 00:00:00,14.7,11.7,82,0,,228,23.8,,995.6,,3
2024-09-27 01:00:00,14,11,82,0,,225,21.2,,996.1,,2
2024-09-27 02:00:00,13.7,10.3,80,0,,220,22.3,,996.8,,2
2024-09-27 03:00:00,13.5,9.5,77,0,,220,22.7,,997.7,,2
2024-09-27 04:00:00,12.9,8.8,76,0,,219,22.3,,997.4,,1
2024-09-27 05:00:00,12.5,8.4,76,0,,215,22.7,,997.3,,1
2024-09-27 06:00:00,12.4,7.9,74,0,,209,22,,997.4,,2
2024-09-27 07:00:00,12.1,7.2,72,0,,205,21.2,,997.2,,2
2024-09-27 08:00:00,12.1,7.2,72,0,,204,21.6,,997.7,,1
2024-09-27 09:00:00,13.1,8,71,0,,209,23.8,,997.8,,1
2024-09-27 10:00:00,14.1,8.5,69,0,,205,24.5,,997.8,,2
2024-09-27 11:00:00,15.1,8.1,63,0,,221,29.5,,998,,2
2024-09-27 12:00:00,15.7,7.7,59,0.2,,228,31,,998.2,,17
2024-09-27 13:00:00,16.1,7.3,56,0.3,,232,29.9,,998.2,,17
2024-09-27 14:00:00,16.4,6.8,53,0,,230,30.6,,998.5,,2
2024-09-27 15:00:00,16.5,6,50,0,,232,33.1,,998.6,,2
2024-09-27 16:00:00,15.7,6.7,55,0.2,,234,32.8,,998.8,,17
2024-09-27 17:00:00,15.2,7.7,61,0.1,,235,25.9,,999.7,,17
2024-09-27 18:00:00,14,7.3,64,0,,233,26.3,,1000.3,,3
2024-09-27 19:00:00,13.6,7.1,65,0,,235,22,,1001.1,,3
2024-09-27 20:00:00,12.2,8.7,79,1.1,,242,20.5,,1002.3,,9
2024-09-27 21:00:00,11.5,9.7,89,1.2,,247,17.3,,1003.3,,9
2024-09-27 22:00:00,11.8,10.2,90,0.4,,271,16.9,,1004.2,,8
2024-09-27 23:00:00,11.6,10,90,0.2,,286,17.6,,1005.5,,7
2024-09-28 00:00:00,11.2,9.8,91,0,,286,16.9,,1006.8,,3
2024-09-28 01:00:00,10.6,9.4,92,0,,290,16.2,,1008.1,,3
2024-09-28 02:00:00,10.4,9.2,92,0,,306,16.6,,1009.5,,3
2024-09-28 03:00:00,10,8.9,93,0,,302,15.5,,1010.3,,3
2024-09-28 04:00:00,9.7,8.8,94,0,,298,14.8,,1011.2,,3
2024-09-28 05:00:00,9.2,8.1,93,0,,284,14.8,,1012.5,,3
2024-09-28 06:00:00,9.2,8.1,93,0,,280,14.8,,1013.7,,3
2024-09-28 07:00:00,8.7,7.6,93,0,,280,15.1,,1014.6,,2
2024-09-28 08:00:00,8.5,7.4,93,0,,280,14.8,,1015.8,,2
2024-09-28 09:00:00,9.5,7.8,89,0,,283,14.4,,1017.1,,2
2024-09-28 10:00:00,10.4,8,85,0,,277,16.2,,1018.1,,2
2024-09-28 11:00:00,11.7,8.2,79,0,,286,17.6,,1018.8,,2
2024-09-28 12:00:00,12.7,7.4,70,0,,296,18,,1019.4,,2
2024-09-28 13:00:00,13.1,6.9,66,0,,298,18,,1019.9,,3
2024-09-28 14:00:00,13.4,6.5,63,0,,298,17.6,,1020.6,,3
2024-09-28 15:00:00,13.8,6.2,60,0,,300,18.4,,1021,,3
2024-09-28 16:00:00,13.4,6,61,0,,301,19.4,,1021.6,,3
2024-09-28 17:00:00,13,5.4,60,0,,304,18,,1022.2,,2
2024-09-28 18:00:00,12.1,6.2,67,0,,322,16.2,,1023.2,,2
2024-09-28 19:00:00,11,6.5,74,0,,330,9,,1024.1,,3
2024-09-28 20:00:00,10,7.6,85,0,,284,9,,1025.2,,2
2024-09-28 21:00:00,9,7.3,89,0,,284,9,,1025.9,,2
2024-09-28 22:00:00,8.7,7.2,90,0,,279,9,,1026.8,,2
2024-09-28 23:00:00,7.7,6.6,93,0,,277,7.9,,1027.3,,2
2024-09-29 00:00:00,6.8,6.1,95,0,,274,8.3,,1027.9,,2
2024-09-29 01:00:00,6.7,6.1,96,0,,270,8.3,,1028,,1
2024-09-29 02:00:00,6.5,6.1,97,0,,272,8.6,,1028.6,,1
2024-09-29 03:00:00,7.2,6.6,96,0,,260,7.9,,1028.8,,1
2024-09-29 04:00:00,7.6,7,96,0,,219,7.6,,1028.7,,1
2024-09-29 05:00:00,5.9,5.6,98,0,,146,5.4,,1028.5,,1
2024-09-29 06:00:00,5.2,5.1,99,0,,139,6.1,,1028.4,,2
2024-09-29 07:00:00,5.7,5.6,99,0,,139,7.6,,1028.5,,5
2024-09-29 08:00:00,6.5,6.4,99,0,,136,9.7,,1029,,5
2024-09-29 09:00:00,7.3,6.7,96,0,,131,10.4,,1029.2,,5
2024-09-29 10:00:00,8.5,7,90,0,,124,10.1,,1029.2,,5
2024-09-29 11:00:00,10.7,7.9,83,0,,111,8.3,,1029,,3
2024-09-29 12:00:00,12.2,7.9,75,0,,111,10.4,,1028.6,,3
2024-09-29 13:00:00,13.4,6.7,64,0,,128,12.6,,1027.9,,3
2024-09-29 14:00:00,14.1,5.7,57,0,,127,12.6,,1026.8,,3
2024-09-29 15:00:00,14.2,5.3,55,0,,135,13,,1026.3,,3
2024-09-29 16:00:00,13.6,4.7,55,0,,132,13.7,,1026,,3
2024-09-29 17:00:00,13.7,4.6,54,0,,129,14.4,,1025,,3
2024-09-29 18:00:00,13.1,5.3,59,0,,118,13,,1023.9,,3
2024-09-29 19:00:00,12.1,5.3,63,0,,120,12.6,,1023.5,,3
2024-09-29 20:00:00,11,5.1,67,0,,115,14.4,,1023.2,,3
2024-09-29 21:00:00,10.9,4.8,66,0,,117,16.2,,1022.7,,3
2024-09-29 22:00:00,10.6,4.7,67,0,,122,18.4,,1022,,3
2024-09-29 23:00:00,10.4,4.5,67,0,,126,19.8,,1021.3,,1
2024-09-30 00:00:00,10.2,3.9,65,0,,125,21.2,,1020.2,,1
2024-09-30 01:00:00,10.2,3.7,64,0,,125,22,,1019.3,,1
2024-09-30 02:00:00,10,4.2,67,0,,126,23,,1018.7,,2
2024-09-30 03:00:00,10.3,4,65,0,,128,23.8,,1017.4,,3
2024-09-30 04:00:00,10.7,3.7,62,0,,132,22,,1016.8,,3
2024-09-30 05:00:00,9.9,3.6,65,0,,132,21.2,,1016.2,,2
2024-09-30 06:00:00,9.3,3.5,67,0,,130,21.2,,1015.5,,2
2024-09-30 07:00:00,9.2,4.6,73,0,,134,22,,1015,,3
2024-09-30 08:00:00,8.8,4.6,75,0,,135,21.6,,1014.7,,3
2024-09-30 09:00:00,9.8,5.8,76,0,,138,20.5,,1014.2,,1
2024-09-30 10:00:00,11.2,6.7,74,0,,138,21.2,,1013.9,,3
2024-09-30 11:00:00,12.2,7.5,73,0,,139,22.3,,1013.5,,3
2024-09-30 12:00:00,14.3,8.7,69,0,,132,22.7,,1013,,3
2024-09-30 13:00:00,15.6,9.5,67,0,,159,26.3,,1012.4,,3
2024-09-30 14:00:00,16,9.9,67,0,,160,22,,1011.8,,3
2024-09-30 15:00:00,15.4,12,80,1.4,,158,21.2,,1011.2,,9
2024-09-30 16:00:00,14.3,12.2,87,2,,149,20.5,,1010.7,,9
2024-09-30 17:00:00,14.4,12.1,86,0.8,,161,22.7,,1010,,8
2024-09-30 18:00:00,14.9,12.8,87,0.4,,164,21.6,,1009.7,,8
2024-09-30 19:00:00,14.7,12.7,88,0.1,,160,19.8,,1009.2,,7
2024-09-30 20:00:00,14.4,12.4,88,0.3,,172,18.4,,1009.4,,17
2024-09-30 21:00:00,14.3,12.2,87,0.4,,182,17.3,,1009.4,,17
2024-09-30 22:00:00,14.4,12.4,88,0.9,,192,16.2,,1009,,17
2024-09-30 23:00:00,14.4,12.1,86,0.2,,197,17.3,,1008.6,,17
2024-10-01 00:00:00,13.9,11.9,88,0.4,,196,18.4,,1008.6,,17
2024-10-01 01:00:00,13.9,12.1,89,0.4,,199,15.8,,1008.4,,8
2024-10-01 02:00:00,13.3,11.7,90,2.8,,205,15.1,,1008.5,,9
2024-10-01 03:00:00,13.2,10.9,86,0.3,,224,18.4,,1008.5,,17
2024-10-01 04:00:00,12.8,10.3,85,0.1,,225,18.4,,1008.5,,17
2024-10-01 05:00:00,12.3,9.9,85,0,,223,17.6,,1008.6,,2
2024-10-01 06:00:00,12.3,9.7,84,0,,216,18.4,,1008.8,,3
2024-10-01 07:00:00,12,9.2,83,0,,212,20.2,,1008.7,,2
2024-10-01 08:00:00,12.2,8.9,80,0,,200,20.2,,1008.3,,3
2024-10-01 09:00:00,12.1,9.3,83,0.7,,198,19.4,,1008.3,,8
2024-10-01 10:00:00,12.2,9.8,85,1.1,,213,20.9,,1008.5,,9
2024-10-01 11:00:00,12.9,9.7,81,0.2,,235,23,,1008.7,,7
2024-10-01 12:00:00,14.3,9.9,75,0,,243,25.6,,1009,,3
2024-10-01 13:00:00,14.6,10.2,75,0,,239,23,,1008.7,,3
2024-10-01 14:00:00,15.4,9.5,68,0,,239,23.8,,1008.5,,3
2024-10-01 15:00:00,15.5,9.6,68,0,,237,19.1,,1008.4,,3
2024-10-01 16:00:00,16,9.4,65,0,,237,19.1,,1008,,3
2024-10-01 17:00:00,16,9.4,65,0,,239,16.9,,1007.8,,3
2024-10-01 18:00:00,15.6,9.9,69,0,,237,11.2,,1007.6,,3
2024-10-01 19:00:00,13.5,9.5,77,0,,216,7.9,,1007.6,,2
2024-10-01 20:00:00,12.4,9.4,82,0,,190,7.6,,1007.6,,2
2024-10-01 21:00:00,11.6,9.3,86,0,,181,7.9,,1007.3,,2
2024-10-01 22:00:00,10.9,9.2,89,0,,179,7.9,,1007.4,,2
2024-10-01 23:00:00,9.8,8.6,92,0,,162,6.5,,1007.6,,2
2024-10-02 00:00:00,9.2,8.1,93,0,,141,6.8,,1007.3,,2
2024-10-02 01:00:00,8.3,7.5,95,0,,143,6.8,,1007.2,,1
2024-10-02 02:00:00,7.6,7,96,0,,147,7.6,,1007.4,,1
2024-10-02 03:00:00,7.5,7.1,97,0,,137,6.8,,1007.7,,1
2024-10-02 04:00:00,9,8.2,95,0,,180,6.1,,1007.6,,1
2024-10-02 05:00:00,9.2,8.4,95,0,,295,7.2,,1007.7,,3
2024-10-02 06:00:00,8.6,8,96,0,,243,7.6,,1007.9,,3
2024-10-02 07:00:00,7.6,7.3,98,0,,277,8.3,,1008.1,,1
2024-10-02 08:00:00,6.7,6.6,99,0,,277,6.1,,1008.8,,2
2024-10-02 09:00:00,9.5,8.4,93,0,,294,7.9,,1009.1,,2
2024-10-02 10:00:00,11,9.3,89,0,,295,5,,1009.5,,2
2024-10-02 11:00:00,12.7,9.7,82,0,,317,5.4,,1009.9,,2
2024-10-02 12:00:00,13.9,9.7,76,0,,311,7.6,,1010.2,,3
2024-10-02 13:00:00,14,10,77,0.1,,329,8.3,,1010.3,,7
2024-10-02 14:00:00,13.9,10.3,79,0,,329,10.1,,1010.5,,3
2024-10-02 15:00:00,14.2,10.6,79,0,,326,9.4,,1010.7,,3
2024-10-02 16:00:00,14.5,10.5,77,0,,340,10.1,,1010.8,,3
2024-10-02 17:00:00,14.4,10,75,0,,340,11.9,,1011.2,,3
2024-10-02 18:00:00,13.1,9.5,79,0.5,,11,15.5,,1011.7,,17
2024-10-02 19:00:00,13,9.4,79,0.6,,353,12.6,,1012.1,,8
2024-10-02 20:00:00,11.9,9.5,85,0,,25,16.9,,1012.9,,3
2024-10-02 21:00:00,11.6,9,84,0,,37,16.9,,1013.6,,3
2024-10-02 22:00:00,11.2,8.6,84,0,,38,16.2,,1014.3,,3
2024-10-02 23:00:00,11.2,8.2,82,0,,41,17.3,,1014.8,,3
2024-10-03 00:00:00,10.1,7.3,83,0,,46,17.6,,1015.4,,3
2024-10-03 01:00:00,9.4,6.8,84,0,,43,15.5,,1015.7,,3
2024-10-03 02:00:00,8.4,6.7,89,0,,30,13.3,,1016.1,,3
2024-10-03 03:00:00,7.8,6.4,91,0,,9,12.6,,1016.5,,3
2024-10-03 04:00:00,8.1,6.7,91,0,,2,13.7,,1016.5,,3
2024-10-03 05:00:00,7.6,6.5,93,0,,18,15.5,,1016.7,,2
2024-10-03 06:00:00,7.2,6.1,93,0,,24,15.1,,1016.9,,2
2024-10-03 07:00:00,7.2,6,92,0,,27,15.5,,1017.2,,3
2024-10-03 08:00:00,7.5,6.1,91,0,,27,15.8,,1017.7,,3
2024-10-03 09:00:00,8.5,6.5,87,0,,26,18.4,,1018,,3
2024-10-03 10:00:00,9.9,6.6,80,0,,34,20.9,,1018.1,,3
2024-10-03 11:00:00,10.9,7,77,0,,37,21.2,,1018.3,,3
2024-10-03 12:00:00,11.9,7,72,0,,40,19.8,,1018.6,,3
2024-10-03 13:00:00,12.7,6.9,68,0,,40,19.8,,1018.5,,3
2024-10-03 14:00:00,13.1,6.7,65,0,,32,18,,1018.2,,3
2024-10-03 15:00:00,13.2,6.1,62,0,,30,17.6,,1018.3,,3
2024-10-03 16:00:00,12.8,6.2,64,0,,24,16.9,,1018.1,,3
2024-10-03 17:00:00,13.1,5,58,0,,26,17.6,,1018.1,,3
2024-10-03 18:00:00,12.5,5.4,62,0,,24,13.3,,1018.4,,3
2024-10-03 19:00:00,11.7,5.3,65,0,,18,11.5,,1018.7,,3
2024-10-03 20:00:00,9.8,5.6,75,0,,12,9.7,,1019,,2
2024-10-03 21:00:00,9.1,5.5,78,0,,19,10.4,,1019.5,,2
2024-10-03 22:00:00,8.2,5.5,83,0,,22,10.4,,1019.8,,2
2024-10-03 23:00:00,7.4,5.4,87,0,,14,9.7,,1019.9,,3
2024-10-04 00:00:00,7.1,5.4,89,0,,4,8.3,,1020,,2
2024-10-04 01:00:00,7.9,6.2,89,0,,9,10.8,,1019.8,,3
2024-10-04 02:00:00,7.6,6.2,91,0,,358,9.4,,1019.7,,3
2024-10-04 03:00:00,6.4,5.4,93,0,,351,9.4,,1019.8,,3
2024-10-04 04:00:00,6.5,5.4,93,0,,345,8.3,,1019.8,,2
2024-10-04 05:00:00,6.1,5.4,95,0,,351,8.3,,1019.9,,2
2024-10-04 06:00:00,6.7,5.8,94,0,,5,7.6,,1020,,2
2024-10-04 07:00:00,6.5,5.6,94,0,,5,9.4,,1020.2,,2
2024-10-04 08:00:00,6.4,5.5,94,0,,16,11.2,,1020.8,,2
2024-10-04 09:00:00,8.1,6.2,88,0,,27,11.9,,1021.1,,2
2024-10-04 10:00:00,9.6,7.2,85,0,,33,13.3,,1021.5,,3
2024-10-04 11:00:00,11.9,7.8,76,0,,46,11.5,,1021.4,,3
2024-10-04 12:00:00,13.4,7.8,69,0,,47,14.8,,1021.2,,3
2024-10-04 13:00:00,14.2,7.5,64,0,,51,15.8,,1020.7,,3
2024-10-04 14:00:00,14.6,7.2,61,0,,52,14.4,,1020.5,,2
2024-10-04 15:00:00,14.4,6.5,59,0,,42,13,,1020.3,,3
2024-10-04 16:00:00,14.7,6.5,58,0,,29,13,,1020.3,,3
2024-10-04 17:00:00,14.3,6.6,60,0,,25,13.7,,1020.1,,3
2024-10-04 18:00:00,13.2,7.4,68,0,,23,11.5,,1020.2,,3
2024-10-04 19:00:00,11.2,6.9,75,0,,27,9,,1020.5,,1
2024-10-04 20:00:00,9.3,6.7,84,0,,30,9.7,,1021,,2
2024-10-04 21:00:00,8.8,6.4,85,0,,41,10.4,,1021.3,,1
2024-10-04 22:00:00,8.1,5.9,86,0,,52,9.7,,1021.4,,1
2024-10-04 23:00:00,7.9,5.7,86,0,,60,8.6,,1021.5,,2
